"Fusions"	"Cancer_Types"	"DB"	"Jackson"	"Fusion"	"Cosmic"	"ChiTaRS"	"TICdb"	"ConjoinG"	"Count"
"LOC728190--DIXDC1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOC728190--GNAS"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOC728190--HSPD1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOC728323--FRYL"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LOC728743--TMEM108"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOC729041--CIB1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOC729421--MAGT1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOC729737--ZNF280D"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOC730091--SEMA4D"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOC92249--RAB7A"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOC93622--FARS2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOH12CR1--ORAOV1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOH12CR1--PTPRR"	"LUSC,LUSC"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"LONP1--AZIN1"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LONP1--DDX27"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LONP1--MAN1A2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LONP1--MAP2K7"	"BRCA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LONP1--SAFB2"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LONP1--ZNF780B"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LONP2--HIRA"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LONRF1--PSMB7"	"SKCM,SKCM"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LONRF2--CLU"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LONRF2--USMG5"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOX--LOC642852"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOXHD1--OLFM4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOXHD1--S100A6"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LOXL1--KARS"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOXL1--LOXL1"	"NA"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"LOXL2--BCAP31"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOXL3--SIPA1L1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOXL4--FAM222B"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LOXL4--MPO"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPAR3--ST6GALNAC3"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPAR5--MAPKAPK3"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPAR5--RPL3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPCAT1--CLPTM1L"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPCAT1--DAP"	"KIRC,KIRC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPCAT1--ENTPD7"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPCAT1--SDHA"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPCAT1--SYT1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPCAT1--TERT"	"LUAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPCAT2--C19orf29"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPCAT2--LPCAT2"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LPCAT2--TXNDC5"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPCAT3--GSG1L"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPCAT3--LRRC23"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPCAT4--SPRED1"	"ESCA,ESCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPGAT1--PCSK7"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPGAT1--SIX1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPHN1--PODNL1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPHN2--AK5"	"PRAD,PRAD"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"LPHN2--FLNA"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPHN2--LPHN2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPHN2--MIR548N"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPHN3--AMTN"	"KIRC,KIRC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPHN3--PPP3CA"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPHN3--SLC26A7"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPHN3--ST3GAL5"	"LGG,LGG"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPIN1--LPIN1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPIN2--MYOM1"	"LUAD,LUAD"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"4"
"LPP--ADIPOQ"	"BRCA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LPP--CASR"	"OV,OV"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPP--CD58"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP--CHSY1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP--CLDN1"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP--CLSTN2"	"HNSC,HNSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPP--F2"	"OV,OV"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPP--FAM108C1"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPP--GNL2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP--GOLIM4"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPP--LEPREL1"	"HNSC,HNSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPP--LPP"	"NA"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"8"
"LPP--LSM1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP--SPATA16"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP--SSU72"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP--ST6GAL1"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPP--TP63"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP--UBE2R2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP--ZNRF1"	"UCS,UCS"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LPP-AS2--LPP"	"PRAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPP-AS2--ST6GAL1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPPR2--COPS6"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPPR4--REPIN1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPPR4--SENP2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPPR5--FGF13"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPXN--LAMA3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LPXN--PAM16"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRBA--CASP12"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRBA--DRD3"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRBA--ESF1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRBA--GRIK3"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRBA--HFE2"	"PRAD,PRAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRBA--HTR1E"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRBA--KTN1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRBA--LRBA"	"NA"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"LRBA--PHF20L1"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRBA--PPARGC1A"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRBA--RXFP1"	"BLCA,BLCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRBA--SH3D19"	"BLCA,LUSC"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"8"
"LRCH1--LRCH1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRCH1--PIK3R1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRCH1--RNPEP"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRCH3--EIF2AK4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRCH3--FYTTD1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRCH3--GNA13"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRCH3--LRCH3"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LRCH3--MED12L"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRCH4--TBC1D1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRFN1--DLL3"	"ESCA,ESCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRFN2--UTP15"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRFN3--FXYD7"	"ESCA,ESCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRFN5--CERS6"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRIF1--SPOP"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRIG1--FAM19A4"	"UCEC"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LRIG1--SLC26A7"	"KIRC,KIRC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRIG1--SUCLG2"	"PRAD,PRAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRIG3--PIP4K2C"	"BRCA,BRCA"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"5"
"LRIG3--SLC16A7"	"SARC,SARC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP1--CAND1"	"SARC,SARC"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"LRP1--LRP1"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP1--OS9"	"PRAD"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"LRP1--SLC39A5"	"UCS,UCS"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"4"
"LRP1--TMEM194A"	"SKCM,SKCM"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP1--XPO5"	"GBM,GBM"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP1--ZNF3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP10--RAB13"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP11--MTMR11"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP11--ULBP2"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP12--KCNB2"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP12--LAPTM4B"	"BRCA,BRCA"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"4"
"LRP12--MYO18B"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP12--RIMS2"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP12--TRAPPC9"	"BRCA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP12--VPS13B"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP1B--ATP1A3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP1B--DMD"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP1B--HECW2"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP1B--KCNH8"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP1B--NAV3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP2--PAPPA"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP3--KIF26A"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP3--LSM14A"	"PRAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP3--THAP8"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP3--VAV1"	"LGG,LGG"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP4--C14orf37"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP5--ALG1L"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP5--ALKBH5"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--ATG16L2"	"GBM,GBM"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--CASQ2"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP5--CHD6"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--CLPB"	"HNSC,HNSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--DLG2"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP5--HMGN1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP5--LRP1"	"ESCA"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"6"
"LRP5--LRP4"	"ESCA"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"LRP5--LRP5"	"NA"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"LRP5--LRP6"	"ESCA"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"5"
"LRP5--MEN1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP5--MOGAT2"	"BRCA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--NOX4"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--PPP6R3"	"BLCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP5--UVRAG"	"SKCM,SKCM"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--VPS26B"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--VPS37C"	"LGG,LGG"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--ZNF317"	"HNSC,HNSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP5--ZNF507"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP5L--LOC653501"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP6--GPR19"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP6--NINJ2"	"LGG,LGG"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"4"
"LRP8--HYDIN"	"SARC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRP8--PAX8"	"THCA,THCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP8--RAD51C"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP8--TMEM217"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRP8--USP24"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRPAP1--HNRNPM"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRPAP1--LRPAP1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRPPRC--ADAM12"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRPPRC--ARL15"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRPPRC--CAMKMT"	"UCEC"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LRPPRC--CYTIP"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRPPRC--GPC3"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRPPRC--LRPPRC"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRR1--KCNH5"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRR1--MTHFD1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC1--DAAM2"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC1--FRY"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC1--SUPT3H"	"LGG,LGG"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC14--LRRC14"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC15--DYSF"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC15--ZBTB38"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC16A--CTSW"	"BLCA,BLCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC16A--EXOC2"	"PRAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC16A--MRS2"	"BRCA,BRCA"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"LRRC16A--PNRC2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC16A--SLC17A1"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC19--SNAPC3"	"LUSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC2--LRRC2"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC20--NODAL"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC23--CAMKK2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC23--LSM10"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC25--ITGAX"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC27--MAGI1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC28--GNAS"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC29--FHOD1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC29--TMC5"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC33--CST7"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC37B--COL18A1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC37B--LRRC37B"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC37B--RAD51C"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC37BP1--AGK"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC38--RPS16"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC40--ACAD11"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC41--FAM159A"	"KIRC,KIRC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC41--SERPINB6"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC45--GNB1"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC45--LRRC45"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC47--EIF3I"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC4C--RPS8"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC57--LRRC57"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC58--LRRC58"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC59--MAP4K4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC59--MCM8-AS1"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC59--NUP107"	"BRCA,BRCA"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"LRRC59--SPAG9"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC6--EXT1"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC6--ZNF10"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC61--PTPN13"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC68--CACNG1"	"LUAD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC68--IGSF23"	"OV"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC68--PAFAH1B3"	"OV"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC68--RHPN2"	"OV"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC68--ZNF224"	"HNSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC68--ZNF225"	"HNSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC7--MLLT1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC8A--C17orf80"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC8A--CCBL1"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC8A--GON4L"	"BRCA,BRCA"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC8A--LRRC8A"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC8A--MEN1"	"UCEC,UCEC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC8A--PDIA4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC8C--GHR"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRC8D--C1orf168"	"BRCA,BRCA"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"LRRC8D--TMEM9"	"LUSC,LUSC"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRC8E--EVI5L"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRCC1--CNTN5"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRCC1--GTPBP5"	"LUAD,LUAD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRFIP1--CAB39"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRFIP1--CALCOCO2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRFIP1--CXCR7"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRFIP1--KIAA0319L"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRFIP1--LRRFIP1"	"NA"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"LRRFIP1--MLPH"	"UCEC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRFIP1--NR3C1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRFIP1--RAMP1"	"ESCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRFIP1--RBM44"	"LUSC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRFIP2--BGN"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRFIP2--GOLGA4"	"BRCA"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"LRRFIP2--LRRFIP2"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRIQ1--LRRIQ1"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRK1--ADAMTS17"	"BRCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"LRRK1--GSTA4"	"NA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
